region,eco_count,eco_total,eco_ratio,large_count,large_total,large_ratio,female_count,male_count,female_ratio,import_count,import_total,import_ratio,persona_code
서울,461832,3147755,14.67,953279,2769888,34.42,727530,1994153,26.73,725329,3155227,22.99,ELMI
부산,287766,1568662,18.34,431734,1357796,31.8,317494,868886,26.76,319581,1584854,20.16,ELMI
대구,175817,1262047,13.93,345641,1079523,32.02,306254,800595,27.67,203710,1267199,16.08,GLFI
인천,350746,1746777,20.08,448798,1515649,29.61,345730,905082,27.64,315135,1761060,17.89,ELFI
광주,92498,725584,12.75,192307,619235,31.06,198603,452585,30.5,92286,730056,12.64,GLFI
대전,102461,745285,13.75,178695,645484,27.68,189319,466664,28.86,90369,749254,12.06,GSFI
울산,85577,607280,14.09,155045,523096,29.64,132455,428469,23.61,50971,613024,8.31,GLMD
세종,36055,204466,17.63,50783,183976,27.6,55451,136974,28.82,31021,205733,15.08,ESFI
경기,954952,6724357,14.2,1683446,5709828,29.48,1667875,4357093,27.68,1013580,6756508,15.0,ESFI
강원,101581,877670,11.57,182559,689214,26.49,230050,585573,28.21,83603,882833,9.47,GSFD
충북,118916,956057,12.44,211957,765613,27.68,237759,637180,27.17,88504,963769,9.18,GSMD
충남,151460,1287661,11.76,296393,1018123,29.11,309631,872946,26.18,115027,1298627,8.86,GSMD
전북,113845,1003308,11.35,225737,782179,28.86,255536,662214,27.84,92343,1009593,9.15,GSFD
전남,192940,1322312,14.59,306910,1029854,29.8,255801,727531,26.01,94536,1333018,7.09,ELMD
경북,161402,1557747,10.36,350993,1192836,29.43,364374,1076464,25.29,125954,1569850,8.02,GSMD
경남,296006,2021145,14.65,483380,1677351,28.82,441194,1224730,26.48,238733,2031612,11.75,ESMD
제주,180135,730252,24.67,193049,619909,31.14,115840,238840,32.66,54845,731246,7.5,ELFD
